,review,overall,result
7500,Disappointing release of a highly regarded genre classic.,negative,positive
7501,Two Stars,negative,positive
7502,Five Stars,positive,positive
7503,I liked the movie,positive,positive
7504,Five Stars,positive,positive
7505,not bad for a '60s action action film,negative,positive
7506,Well stated - a person gets a chance to start over,positive,positive
7507,Lousy quality,negative,positive
7508,Awesome at its best,positive,positive
7509,Mostly viewable,negative,positive
7510,Edison the Man,positive,positive
7511,Four Stars,positive,positive
7512,Five Stars,positive,positive
7513,"Watered Down Bond, Shaken, Not Stirred",negative,positive
7514,Not even Alice Krige can save this flick,negative,negative
7515,You'll Never Get Rich,positive,positive
7516,Blah,negative,positive
7517,Early Doris Day fare.  Ronald  Reagan liked it  but he's done better..,negative,positive
7518,EXCELLENT!,positive,positive
7519,Throwing a Wedding the Right Way,negative,positive
7520,Flat and flavaless Juice gets little props from me Good performance from Tupac.,negative,positive
7521,My Favorite of the Series,positive,positive
7522,Five Stars,positive,positive
7523,Zalman Kings Red Shoe Diaries: The Movie,negative,positive
7524,A Golden Oldie,negative,positive
7525,Overrated Junk!,negative,positive
7526,Tin Star,negative,positive
7527,not what I remembered...,negative,positive
7528,first movie,positive,positive
7529,good corey haim movie,positive,positive
7530,Three Stars,negative,positive
7531,One Star,negative,positive
7532,Three Stars,negative,positive
7533,"A MESSY MIX OF 1980'S TEEN COMEDIES & ""BEWITCHED.""",negative,positive
7534,One of my top 5 favorite movies of all time,positive,positive
7535,The forgotten Bond Movie!,negative,positive
7536,Five Stars,positive,positive
7537,Terrible Film -,negative,positive
7538,Terrible,negative,positive
7539,Only half of the original movie,positive,positive
7540,I LOVE 'The CURSE series!,positive,positive
7541,"""I'm gonna count one, two, three. You can draw on two - I'll wait to three.""",negative,unknown
7542,Always fun. Good transfer.,positive,positive
7543,Zulu Dawn,negative,positive
7544,Print is censored,negative,unknown
7545,If you run out of things to watch...,negative,unknown
7546,No,negative,positive
7547,Blech,negative,positive
7548,Not impressed,negative,positive
7549,"""Black Irish and a Blonde Bombshell""",positive,positive
7550,good movie,negative,positive
7551,Good film.,positive,positive
