,review,overall,result
8000,"A money making device, not a film",negative,positive
8001,STRICTLY FOR MM FANS.....,negative,positive
8002,new packaging a letdown,negative,positive
8003,Four Stars,positive,positive
8004,Very weak overall...but MM looks great !,negative,positive
8005,wild hearts cant br broken,positive,positive
8006,"Not too gritty, but tupacs best preformance.",negative,positive
8007,If this film does not move you...You're Dead,positive,negative
8008,Calibrator,positive,negative
8009,Amazing!,positive,positive
8010,At first they didn't succeed.,negative,unknown
8011,The best Sinbad movie to me and a wonderful family fantasy movie,positive,positive
8012,Rock & Roll,positive,positive
8013,Dalton plays a believable James Bond. But the action ...,negative,negative
8014,Five Stars,positive,positive
8015,"Good, but flawed",negative,positive
8016,Marilyn Munroe,negative,positive
8017,Five Stars,positive,positive
8018,Not as good as Narc,positive,positive
8019,Excellent film: Intricate  Detail,positive,positive
8020,"A chaotic, bad girl, movie!",positive,positive
8021,but that is forgiven simply because of the fantastic aerial footage,negative,positive
8022,Cornball Drama at its worst,negative,positive
8023,Heartwarming story - Harrison Ford is amazing!,positive,positive
8024,Five Stars,positive,positive
8025,Pretty Good for a sequel,negative,positive
8026,"Good, but very 80's",negative,positive
8027,Definitely a Disney Classic,positive,positive
8028,Five Stars,positive,positive
8029,If there is any Sinbad film you are going to watch make it this one.,positive,positive
8030,decent corny film,negative,positive
8031,Cagney Made Some Good Fimls: This ISN'T One of Them,negative,positive
8032,The road to nowhere...,negative,positive
8033,Small-town charm makes this movie memorable,positive,positive
8034,Comic-Horror,negative,positive
8035,The Rocky Road of Boxing,negative,positive
8036,Sucks majorly,negative,positive
8037,A Classic of Schlock!,negative,positive
8038,Five Stars,positive,positive
8039,"Love Doris, but...",negative,negative
8040,Good,positive,positive
8041,More `haha funny' than genuinely witty...,negative,positive
8042,Extra features are the icing on an already wonderful cake!,positive,positive
8043,"""Keep it Real""",positive,positive
8044,A Stupid piece of trash,negative,unknown
8045,Great Movie !,positive,positive
8046,A reasonably good but not great Blu-Ray,positive,positive
8047,Sindbad Defeats Dismal Special Effects!,negative,positive
8048,Best for Karloff fans and enthusiasts of the genre,negative,positive
8049,Fun Gift!,positive,positive
8050,Thelma and Louise --- Always good,positive,positive
8051,Still a great flick,positive,positive
8052,actually I LOVE the movie,negative,positive
8053,Awesome Movie,positive,positive
8054,"Ford, yes. But not good Ford.",negative,negative
8055,Five Stars,positive,positive
8056,godzilla vs  gigan,positive,positive
8057,SWORDS AND SORCERY,negative,positive
8058,Watch this movie!!!,positive,positive
8059,Five Stars,positive,positive
8060,Five Stars,positive,positive
8061,An underrated western,positive,positive
8062,A brilliant climax in need of a film to go with it.,negative,positive
8063,A total delight!,positive,positive
